                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.27821,                 4.9916,                0.22357,                0.24457,                 1.0429,                 0.9832,                      1,                  0.995,                0.93941,                0.43699,                0.44118,                0.31516,                0.09217,                0.45255,                 3.9363,                0.18281,                0.27133,                0.76169,              0.0018297,              0.0018297,              0.0018297
                     45,                0.30251,                 4.9276,                0.21227,                0.25876,                 1.0559,                0.99744,                      1,                  0.995,                0.94122,                  0.469,                0.47059,                0.27173,                0.05028,                0.53715,                 4.6745,                0.18673,                0.36806,                0.92314,              0.0018258,              0.0018258,              0.0018258
                     46,                0.31038,                 5.1443,                0.22925,                0.26438,                 1.0557,                0.99793,                      1,                  0.995,                0.94353,                0.56977,                0.55882,                 0.4707,                0.14857,                0.42208,                 4.4023,                0.20879,                 0.3253,                0.76715,              0.0018218,              0.0018218,              0.0018218
                     47,                 0.3198,                 4.8137,                0.21596,                0.26933,                  1.078,                0.99608,                      1,                  0.995,                0.95346,                0.64623,                0.64706,                 0.5343,                0.17969,                0.42216,                 4.2442,                0.17162,                0.31211,                0.75455,              0.0018178,              0.0018178,              0.0018178
                     48,                0.30354,                 4.8469,                0.21621,                0.27385,                 1.0244,                0.99648,                      1,                  0.995,                0.96213,                0.41019,                0.41176,                0.28271,                0.07321,                0.44708,                 5.1312,                0.20407,                 0.2961,                0.80329,              0.0018139,              0.0018139,              0.0018139
                     49,                0.29608,                 4.6498,                0.21237,                0.27277,                 1.0294,                0.99636,                      1,                  0.995,                0.91647,                 0.5879,                0.58824,                0.49356,                0.16014,                0.52287,                 3.9031,                0.20891,                 0.5038,                0.86013,              0.0018099,              0.0018099,              0.0018099
                     50,                0.31741,                 4.5518,                0.20487,                0.27145,                 1.0564,                0.98244,                      1,                  0.995,                0.95413,                0.41502,                0.41176,                0.34592,                0.09493,                0.47014,                 5.0544,                0.20896,                0.53509,                 0.8079,               0.001806,               0.001806,               0.001806
                     51,                0.31291,                 4.5045,                 0.1936,                 0.2639,                 1.0381,                0.99831,                      1,                  0.995,                0.92456,                 0.5285,                0.52941,                0.43625,                0.13282,                0.45686,                 3.8978,                0.19832,                0.27213,                0.77813,               0.001802,               0.001802,               0.001802
                     52,                0.31452,                 4.1862,                 0.2009,                0.25935,                 1.0527,                 0.9984,                      1,                  0.995,                0.95075,                0.46994,                0.47059,                0.40161,                0.10539,                0.49764,                  3.765,                0.19351,                0.30514,                0.82667,               0.001798,               0.001798,               0.001798
                     53,                 0.2937,                 3.7363,                0.18885,                0.26156,                 1.0197,                0.99807,                      1,                  0.995,                0.93388,                0.70474,                0.70588,                0.62229,                0.17078,                0.45366,                 4.2307,                0.22614,                0.23509,                0.79053,              0.0017941,              0.0017941,              0.0017941
                     54,                0.29183,                 4.1868,                0.19998,                0.25534,                 1.0232,                0.99755,                      1,                  0.995,                0.95854,                0.70471,                0.70588,                0.66278,                0.20956,                0.46645,                 4.1689,                0.21073,                0.29142,                0.80789,              0.0017901,              0.0017901,              0.0017901
                     55,                0.29122,                 4.2605,                0.19744,                0.25544,                 1.0414,                0.99592,                      1,                  0.995,                0.94942,                0.82017,                0.82353,                0.77596,                0.27052,                0.48695,                 3.1446,                0.18624,                0.30038,                0.84679,              0.0017862,              0.0017862,              0.0017862
                     56,                0.29384,                 3.8086,                0.19291,                0.24558,                 1.0311,                0.99842,                      1,                  0.995,                0.95818,                0.57345,                0.55882,                0.50737,                0.16756,                0.53302,                 5.0784,                 0.1628,                0.36538,                 1.0083,              0.0017822,              0.0017822,              0.0017822
                     57,                0.28568,                 3.9495,                0.18973,                0.24732,                 1.0077,                0.99843,                      1,                  0.995,                0.96687,                0.73414,                0.73529,                0.69557,                0.21287,                 0.4006,                 3.2132,                0.17285,                0.29687,                0.72139,              0.0017782,              0.0017782,              0.0017782
                     58,                0.26844,                 3.6509,                0.19108,                 0.2352,                  1.014,                0.99839,                      1,                  0.995,                0.97287,                0.82228,                0.82353,                0.75139,                0.26175,                 0.4143,                 2.5307,                0.16437,                 0.2778,                0.71047,              0.0017743,              0.0017743,              0.0017743
                     59,                0.26259,                  3.928,                0.18802,                0.23351,                 1.0232,                0.99581,                      1,                  0.995,                0.93855,                0.57548,                0.61765,                0.51533,                0.17581,                0.58454,                 4.1478,                0.17362,                0.34973,                0.88989,              0.0017703,              0.0017703,              0.0017703
                     60,                0.28045,                  3.625,                0.18999,                 0.2451,                 1.0249,                0.99836,                      1,                  0.995,                0.95398,                0.85154,                0.85294,                0.77435,                0.24566,                0.40337,                 3.8968,                0.14571,                0.24527,                0.68149,              0.0017664,              0.0017664,              0.0017664
                     61,                0.25723,                  3.881,                0.17244,                0.23098,                 1.0261,                0.99796,                      1,                  0.995,                0.96396,                0.88051,                0.88235,                0.85945,                0.31496,                0.44752,                 3.5828,                0.17988,                0.28907,                0.76721,              0.0017624,              0.0017624,              0.0017624
                     62,                0.26777,                 3.4478,                0.18832,                0.22926,                 1.0347,                0.99834,                      1,                  0.995,                0.93971,                0.55801,                0.55882,                0.44804,                0.11499,                0.49151,                  3.746,                0.15784,                0.27364,                0.82222,              0.0017584,              0.0017584,              0.0017584
                     63,                0.26702,                 3.6694,                0.18975,                0.23417,                 1.0237,                0.99817,                      1,                  0.995,                0.96196,                0.67523,                0.67647,                0.66137,                0.18709,                0.40618,                 3.1289,                0.17886,                0.29707,                0.72181,              0.0017545,              0.0017545,              0.0017545
                     64,                0.27914,                 3.7888,                0.18567,                  0.237,                 1.0159,                0.99843,                      1,                  0.995,                0.96609,                0.79285,                0.79412,                0.71682,                 0.2348,                0.43304,                 3.2991,                0.16451,                0.27666,                0.74863,              0.0017505,              0.0017505,              0.0017505
                     65,                0.28293,                 3.6206,                0.17941,                0.24425,                 1.0305,                0.99834,                      1,                  0.995,                   0.95,                0.47008,                0.47059,                0.33553,                0.10279,                0.46814,                 5.8297,                0.23536,                0.34036,                0.83323,              0.0017466,              0.0017466,              0.0017466
                     66,                0.25532,                 3.7516,                0.18167,                0.22501,                 1.0171,                0.99837,                      1,                  0.995,                0.96802,                 0.7929,                0.79412,                0.74637,                0.26648,                0.42589,                 3.9149,                0.15161,                0.29178,                0.76171,              0.0017426,              0.0017426,              0.0017426
                     67,                0.26767,                 3.3748,                0.18172,                0.23111,                 1.0068,                0.99836,                      1,                  0.995,                0.95665,                0.61663,                0.61765,                0.49369,                0.15848,                0.50598,                 5.7744,                0.24224,                 0.3244,                0.82404,              0.0017386,              0.0017386,              0.0017386
                     68,                0.26137,                 3.5871,                0.18916,                0.22285,                 1.0119,                0.99808,                      1,                  0.995,                0.97408,                0.85253,                0.85294,                0.84924,                0.26728,                0.39192,                 3.3215,                 0.1616,                0.25761,                0.70939,              0.0017347,              0.0017347,              0.0017347
                     69,                0.26367,                 3.4147,                  0.175,                0.22888,                 1.0408,                0.99854,                      1,                  0.995,                0.97661,                0.90055,                0.88235,                0.85414,                0.36282,                0.50381,                 2.3943,                0.16524,                0.38011,                0.89743,              0.0017307,              0.0017307,              0.0017307
                     70,                0.26748,                 3.3709,                0.18269,                0.24033,                0.99964,                0.99835,                      1,                  0.995,                0.98043,                0.82211,                0.82353,                 0.7594,                0.30297,                0.39779,                 2.5573,                0.14773,                0.32487,                0.76797,              0.0017268,              0.0017268,              0.0017268
                     71,                0.26493,                 3.6331,                0.18565,                0.24021,                 1.0221,                0.99058,                      1,                  0.995,                0.96191,                0.96144,                0.97059,                0.96618,                0.36154,                0.37956,                 2.4722,                0.14571,                0.28592,                0.70829,              0.0017228,              0.0017228,              0.0017228
                     72,                0.26598,                 3.3046,                0.18581,                0.24208,                 1.0019,                0.97009,                      1,                  0.995,                0.92833,                0.83049,                0.85294,                0.84286,                0.36317,                0.42729,                 2.7479,                0.18847,                0.33854,                0.83676,              0.0017188,              0.0017188,              0.0017188
                     73,                0.28206,                 2.9111,                0.17469,                0.24196,                 1.0318,                      1,                      1,                  0.995,                0.95902,                0.94118,                0.94118,                0.92194,                0.43426,                0.52674,                 2.3675,                0.17551,                0.31221,                0.88145,              0.0017149,              0.0017149,              0.0017149
                     74,                0.26404,                 3.1367,                0.17468,                0.22801,                 1.0143,                0.99839,                      1,                  0.995,                0.96276,                0.88093,                0.88235,                0.85217,                0.37788,                 0.4263,                 2.9825,                0.17651,                0.27954,                0.70027,              0.0017109,              0.0017109,              0.0017109
                     75,                0.29214,                 3.2324,                0.17609,                0.24081,                 1.0192,                0.99845,                      1,                  0.995,                0.94809,                0.96908,                0.97059,                0.97481,                0.38873,                0.43144,                 2.4366,                0.15029,                0.29353,                0.76789,               0.001707,               0.001707,               0.001707
                     76,                0.27968,                 3.2469,                0.17861,                0.24685,                  1.027,                      1,                      1,                  0.995,                0.96307,                0.76471,                0.76471,                0.68058,                0.32829,                0.44306,                 2.9011,                0.18133,                 0.2735,                0.80719,               0.001703,               0.001703,               0.001703
                     77,                0.25094,                 2.7396,                 0.1816,                0.22677,                 1.0161,                0.99844,                      1,                  0.995,                0.97732,                0.96908,                0.97059,                 0.9588,                0.43096,                0.39472,                 2.2047,                0.15571,                0.24956,                0.73506,               0.001699,               0.001699,               0.001699
                     78,                0.26378,                  2.955,                0.17095,                 0.2308,                 1.0148,                 0.9691,                      1,                  0.995,                0.95566,                0.88288,                0.91176,                0.85314,                0.36215,                0.42227,                 2.9056,                0.19452,                0.29843,                0.78772,              0.0016951,              0.0016951,              0.0016951
                     79,                0.26907,                 2.8899,                0.17266,                0.23981,                 1.0316,                0.99802,                      1,                  0.995,                0.96589,                0.58744,                0.58824,                0.46224,                0.18137,                0.41431,                 2.9047,                0.16364,                0.30376,                0.75445,              0.0016911,              0.0016911,              0.0016911
                     80,                0.27982,                 3.4955,                0.19576,                0.24881,                 1.0411,                      1,                0.99889,                  0.995,                0.97586,                0.87684,                0.85294,                0.86086,                0.32155,                0.39363,                 2.6235,                0.15373,                0.29319,                 0.7091,              0.0016872,              0.0016872,              0.0016872
                     81,                0.25213,                 2.7984,                0.16752,                0.22741,                 1.0017,                0.99799,                      1,                  0.995,                0.93826,                0.90993,                0.91176,                0.88293,                0.38827,                 0.4275,                 3.5838,                0.18859,                0.30176,                0.70245,              0.0016832,              0.0016832,              0.0016832
                     82,                0.24662,                 2.8946,                0.16746,                0.21105,                 1.0099,                0.99024,                      1,                  0.995,                0.98522,                0.90266,                0.91176,                0.88579,                0.37047,                0.36573,                 2.9484,                0.16594,                0.33299,                  0.665,              0.0016792,              0.0016792,              0.0016792
                     83,                 0.2423,                 3.1147,                0.17355,                 0.2184,                 0.9918,                0.99771,                      1,                  0.995,                0.95386,                0.96891,                0.97059,                0.98301,                0.53014,                0.42333,                 1.9556,                0.15755,                0.33237,                0.74983,              0.0016753,              0.0016753,              0.0016753
                     84,                0.24176,                 2.7597,                0.17785,                0.22525,                 1.0008,                0.99839,                      1,                  0.995,                0.96465,                0.88093,                0.88235,                0.86572,                0.38571,                0.39788,                 2.0521,                0.16389,                0.28189,                0.74873,              0.0016713,              0.0016713,              0.0016713
                     85,                0.24953,                 2.7732,                0.17652,                0.22402,                 1.0012,                0.99838,                      1,                  0.995,                0.92975,                0.99838,                      1,                  0.995,                0.50843,                 0.5109,                 2.5498,                0.14429,                0.30166,                0.86656,              0.0016674,              0.0016674,              0.0016674
