                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.82433,                0.37107,                0.81947,                0.61505,                0.57888,                0.52452,                0.31496,                 1.3256,                   1.36,                0.89283,               0.005149,               0.005149,               0.005149
                     51,                0.82082,                 0.3696,                0.81881,                0.61403,                0.57872,                 0.5241,                0.31465,                 1.3275,                 1.3601,                0.89327,                0.00505,                0.00505,                0.00505
                     52,                0.84396,                0.37601,                0.82214,                0.61289,                0.57824,                 0.5235,                0.31438,                 1.3282,                 1.3621,                0.89349,               0.004951,               0.004951,               0.004951
                     53,                0.84552,                0.37799,                0.82191,                0.61336,                0.57746,                0.52378,                0.31459,                 1.3292,                 1.3646,                0.89379,               0.004852,               0.004852,               0.004852
                     54,                0.84112,                0.37544,                0.82162,                 0.6131,                0.57704,                0.52324,                0.31382,                 1.3303,                 1.3647,                0.89409,               0.004753,               0.004753,               0.004753
                     55,                0.83565,                0.37277,                0.82087,                0.61196,                 0.5774,                0.52348,                0.31386,                 1.3315,                 1.3645,                0.89441,               0.004654,               0.004654,               0.004654
                     56,                0.82997,                0.37114,                0.82016,                0.61192,                0.57731,                0.52278,                0.31308,                 1.3324,                  1.366,                0.89474,               0.004555,               0.004555,               0.004555
                     57,                0.82317,                0.36821,                0.81926,                0.61139,                0.57764,                 0.5232,                0.31342,                 1.3335,                  1.368,                0.89505,               0.004456,               0.004456,               0.004456
                     58,                 0.8167,                0.36549,                0.81846,                0.61088,                0.57775,                0.52309,                 0.3134,                 1.3343,                 1.3702,                0.89533,               0.004357,               0.004357,               0.004357
                     59,                0.81337,                0.36487,                0.81809,                0.61091,                0.57767,                0.52249,                 0.3128,                 1.3354,                 1.3728,                0.89563,               0.004258,               0.004258,               0.004258
